Platform,Hotel Name,Price,City,Country,Hotel Star,Guest Rating,Checkin Date,Checkout Date,Cleaned Name,Cluster,Segmentation
agoda,CONJIOO HOTEL at JAKARTA AIRPORT,634468,Jakarta,Indonesia,4,8.9,2025-10-03,2025-10-04,airport at conjioo jakarta,0,Mid-Range
tripcom,Easy Planet Bangkok Asoke,634631,Bangkok,Thailand,3,8.4,2025-10-22,2025-10-23,asoke bangkok easy planet,1,Budget
tripcom,ARTOTEL Yogyakarta,634694,Yogyakarta,Indonesia,4,9.1,2025-10-14,2025-10-15,artotel yogyakarta,0,Mid-Range
agoda,Citrip Hotel simpang lima (FKA CityOne),634711,Semarang,Indonesia,4,8.3,2025-09-28,2025-09-29,citrip cityone fka lima simpang,0,Mid-Range
tripcom,Oakwood Merdeka Bandung,634761,Bandung,Indonesia,4,9.2,2025-10-15,2025-10-16,bandung merdeka oakwood,0,Mid-Range
tripcom,Oakwood Merdeka Bandung,634761,Bandung,Indonesia,4,9.2,2025-10-16,2025-10-17,bandung merdeka oakwood,0,Mid-Range
tripcom,"Swiss-Belinn Tunjungan, Surabaya",634839,Surabaya,Indonesia,3,9.0,2025-10-13,2025-10-14,surabaya swissbelinn tunjungan,1,Budget
traveloka,Best Western Nada Don Mueang Airport Hotel,634953,Bangkok,Thailand,4,8.9,2025-09-30,2025-10-01,airport best don mueang nada western,0,Mid-Range
agoda,"Shangri-La Golden Sands, Penang",635027,Penang,Malaysia,4,8.6,2025-10-03,2025-10-04,golden penang sands shangrila,0,Mid-Range
tiketcom,Swiss-Belinn Gajah Mada Medan,635232,Medan,Indonesia,3,9.0,2025-10-16,2025-10-17,gajah mada medan swissbelinn,1,Budget
tripcom,Grand Picasso Hotel,635294,Jakarta,Indonesia,3,8.5,2025-10-20,2025-10-21,grand picasso,1,Budget
tripcom,Hotel Savoy Homann,635294,Bandung,Indonesia,4,9.1,2025-10-12,2025-10-13,homann savoy,0,Mid-Range
tripcom,Hotel Savoy Homann,635294,Bandung,Indonesia,4,9.1,2025-10-15,2025-10-16,homann savoy,0,Mid-Range
tripcom,Iris Hotel Yeongdeungpo Seoul,635301,Seoul,Korea Selatan,3,8.3,2025-10-19,2025-10-20,iris seoul yeongdeungpo,1,Budget
tripcom,TJ Hotel,635301,Seoul,Korea Selatan,3,7.3,2025-10-17,2025-10-18,tj,1,Budget
agoda,Grand Anara Airport Hotel,635427,Jakarta,Indonesia,5,9.0,2025-09-28,2025-09-29,airport anara grand,0,Mid-Range
agoda,The Langham Jakarta,635427,Jakarta,Indonesia,5,9.3,2025-10-02,2025-10-03,jakarta langham the,0,Mid-Range
agoda,Discovery Ancol,635427,Jakarta,Indonesia,4,8.4,2025-10-04,2025-10-05,ancol discovery,0,Mid-Range
agoda,Mandarin Hotel Managed by Centre Point,635471,Bangkok,Thailand,4,8.7,2025-09-28,2025-09-29,by centre managed mandarin point,0,Mid-Range
traveloka,Best Western Nada Don Mueang Airport Hotel,635665,Bangkok,Thailand,4,8.9,2025-10-02,2025-10-03,airport best don mueang nada western,0,Mid-Range
traveloka,Green Forest Resort & Wedding Bandung,635676,Bandung,Indonesia,5,8.6,2025-10-02,2025-10-03,bandung forest green wedding,0,Mid-Range
agoda,Luxury Malioboro Hotel,635696,Yogyakarta,Indonesia,4,8.9,2025-09-30,2025-10-01,luxury malioboro,0,Mid-Range
