date,airline,departure_time,arrival_time,duration,transit,flight_price,origin,destination,seat_class,baggage,city,Platform,Hotel Name,hotel_price,City,Country,Hotel Star,Guest Rating,Checkin Date,Checkout Date,Cleaned Name,total_price,cluster_raw,cluster
2025-12-12,Citilink,10:25,10:25,1h 35m,0,1338731.0,SUB,CGK,Economy,15,Jakarta,bookingcom,Stanley Wahid Hasyim Jakarta,1024386,Jakarta,Indonesia,3,8.9,2025-12-12,2025-12-13,hasyim jakarta stanley wahid,2363117.0,2,Budget
2025-12-12,Citilink,10:25,10:25,1h 35m,0,1338731.0,SUB,CGK,Economy,15,Jakarta,bookingcom,Mercure Jakarta Batavia,1057713,Jakarta,Indonesia,4,8.3,2025-12-12,2025-12-13,batavia jakarta mercure,2396444.0,2,Budget
2025-12-12,Citilink,10:25,10:25,1h 35m,0,1338731.0,SUB,CGK,Economy,15,Jakarta,bookingcom,Novotel Jakarta Cikini,1101100,Jakarta,Indonesia,4,8.5,2025-12-12,2025-12-13,cikini jakarta novotel,2439831.0,2,Budget
2025-12-12,Citilink,10:25,10:25,1h 35m,0,1338731.0,SUB,CGK,Economy,15,Jakarta,tiketcom,Grand Sahid Jaya Jakarta,1156464,Jakarta,Indonesia,5,8.6,2025-12-12,2025-12-13,grand jakarta jaya sahid,2495195.0,2,Budget
2025-12-12,Citilink,10:25,10:25,1h 35m,0,1338731.0,SUB,CGK,Economy,15,Jakarta,bookingcom,Holiday Inn Express Jakarta Wahid Hasyim by IHG,1164152,Jakarta,Indonesia,5,8.1,2025-12-12,2025-12-13,by express hasyim holiday ihg jakarta wahid,2502883.0,2,Budget
2025-12-12,Citilink,10:25,10:25,1h 35m,0,1338731.0,SUB,CGK,Economy,15,Jakarta,agoda,ANARA AIRPORT HOTEL INTERNATIONAL,1173383,Jakarta,Indonesia,5,8.7,2025-12-12,2025-12-13,airport anara international,2512114.0,2,Budget
2025-12-12,Citilink,10:25,10:25,1h 35m,0,1338731.0,SUB,CGK,Economy,15,Jakarta,tiketcom,The Grove Suites by Grand Aston,1180654,Jakarta,Indonesia,5,9.2,2025-12-12,2025-12-13,aston by grand grove suites the,2519385.0,2,Budget
2025-12-12,Citilink,10:25,10:25,1h 35m,0,1338731.0,SUB,CGK,Economy,15,Jakarta,agoda,Hotel Falatehan Jakarta,1196694,Jakarta,Indonesia,5,8.2,2025-12-12,2025-12-13,falatehan jakarta,2535425.0,2,Budget
2025-12-12,Citilink,10:25,10:25,1h 35m,0,1338731.0,SUB,CGK,Economy,15,Jakarta,bookingcom,Mercure Jakarta Cikini,1197900,Jakarta,Indonesia,4,8.3,2025-12-12,2025-12-13,cikini jakarta mercure,2536631.0,2,Budget
2025-12-12,Citilink,10:25,10:25,1h 35m,0,1338731.0,SUB,CGK,Economy,15,Jakarta,bookingcom,DoubleTree by Hilton Jakarta Kemayoran,1235797,Jakarta,Indonesia,5,9.3,2025-12-12,2025-12-13,by doubletree hilton jakarta kemayoran,2574528.0,2,Budget
