Platform,Hotel Name,Price,City,Country,Hotel Star,Guest Rating,Checkin Date,Checkout Date,Cleaned Name
tripcom,Best Western Plus Paris Meudon Ermitage,2701641,Paris,Perancis,4,8.6,2025-12-11,2025-12-12,best ermitage meudon paris plus western
tripcom,Holiday Inn Golden Mile,2702135,Hong Kong,China,4,8.6,2025-12-08,2025-12-09,golden holiday mile
agoda,Park Avenue Changi Hotel,2704985,Singapura,Singapura,4,8.4,2025-12-10,2025-12-11,avenue changi park
agoda,Conrad Singapore Orchard,2704985,Singapura,Singapura,5,9.1,2025-12-09,2025-12-10,conrad orchard singapore
tripcom,Candeo Hotels Ueno Park,2705298,Tokyo,Jepang,3,8.5,2025-12-14,2025-12-15,candeo hotels park ueno
agoda,Novotel Paris Roissy CDG Convention,2705441,Paris,Perancis,4,8.8,2025-12-17,2025-12-18,cdg convention novotel paris roissy
tripcom,The Royal Garden Hotel,2706010,Hong Kong,China,5,8.9,2025-12-08,2025-12-09,garden royal the
agoda,Duquesne Eiffel Hotel,2706206,Paris,Perancis,4,8.5,2025-12-13,2025-12-14,duquesne eiffel
tripcom,B&B HOTEL Paris Nord 18ème,2707149,Paris,Perancis,4,7.9,2025-12-17,2025-12-18,18ème bb nord paris
agoda,Regal Airport Hotel,2709260,Hong Kong,China,5,8.5,2025-12-16,2025-12-17,airport regal
tripcom,Prudential Hotel,2711269,Hong Kong,China,4,8.8,2025-12-14,2025-12-15,prudential
agoda,Hotel Beaugrenelle Tour Eiffel,2712633,Paris,Perancis,3,8.2,2025-12-14,2025-12-15,beaugrenelle eiffel tour
agoda,Grand Hotel Magenta,2713130,Paris,Perancis,1,7.5,2025-12-10,2025-12-11,grand magenta
agoda,Novotel Paris Charles de Gaulle Airport,2716768,Paris,Perancis,4,8.3,2025-12-15,2025-12-16,airport charles de gaulle novotel paris
agoda,Hotel l'Elysee Val d'Europe,2717412,Paris,Perancis,4,9.0,2025-12-12,2025-12-13,deurope lelysee val
agoda,York Hotel,2717928,Singapura,Singapura,4,8.5,2025-12-09,2025-12-10,york
