Platform,Hotel Name,Price,City,Country,Hotel Star,Guest Rating,Checkin Date,Checkout Date,Cleaned Name
tripcom,The Mira Hong Kong,3700242,Hong Kong,China,5,8.9,19/10/2025,20/10/2025,hong kong mira the
traveloka,B P International,3702031,Hong Kong,China,5,8.7,02/10/2025,03/10/2025,b international p
agoda,Hillwood House Hotel,3702060,Hong Kong,China,4,8.6,02/10/2025,03/10/2025,hillwood house
agoda,Imperial Hotel,3703121,Hong Kong,China,4,6.7,01/10/2025,02/10/2025,imperial
tripcom,Hopewell Hotel,3706880,Hong Kong,China,5,9.4,18/10/2025,19/10/2025,hopewell
agoda,Grand Hotel Champs Elysées,3708441,Paris,Perancis,5,8.2,29/09/2025,30/09/2025,champs elysées grand
agoda,Break & Home Paris Italie Porte de Choisy,3709928,Paris,Perancis,3,7.7,30/09/2025,01/10/2025,break choisy de home italie paris porte
traveloka,Hotel 81 Dickson,3713098,Singapura,Singapura,5,8.4,04/10/2025,05/10/2025,81 dickson
agoda,"Yvette Hotel Porte de Versailles, Sonder",3713873,Paris,Perancis,4,8.6,01/10/2025,02/10/2025,de porte sonder versailles yvette
agoda,"Yvette Hotel Porte de Versailles, Sonder",3713873,Paris,Perancis,4,8.6,30/09/2025,01/10/2025,de porte sonder versailles yvette
traveloka,Regal Kowloon Hotel,3714152,Hong Kong,China,4,8.6,03/10/2025,04/10/2025,kowloon regal
traveloka,Art Hotel Eiffel,3714258,Paris,Perancis,3,8.2,05/10/2025,06/10/2025,art eiffel
traveloka,Comfort Inn Yeouido,3715094,Seoul,South Korea,4,8.8,27/09/2025,28/09/2025,comfort yeouido
traveloka,Hotel 81 Premier Hollywood,3718363,Singapura,Singapura,4,8.3,02/10/2025,03/10/2025,81 hollywood premier
agoda,Marco Polo Hongkong Hotel,3720413,Hong Kong,China,5,8.7,03/10/2025,04/10/2025,hongkong marco polo
traveloka,sequence MIYASHITA PARK,3723183,Tokyo,Jepang,4,8.6,28/09/2025,29/09/2025,miyashita park sequence
traveloka,ibis Paris Gare de Lyon Ledru Rollin 12ème,3724329,Paris,Perancis,3,9.0,29/09/2025,30/09/2025,12ème de gare ibis ledru lyon paris rollin
tripcom,Courtyard by Marriott Hong Kong,3729014,Hong Kong,China,4,9.2,13/10/2025,14/10/2025,by courtyard hong kong marriott
tripcom,Courtyard by Marriott Hong Kong,3729014,Hong Kong,China,4,9.2,19/10/2025,20/10/2025,by courtyard hong kong marriott
tripcom,Courtyard by Marriott Hong Kong,3729014,Hong Kong,China,4,9.2,14/10/2025,15/10/2025,by courtyard hong kong marriott
tripcom,Courtyard by Marriott Hong Kong,3729014,Hong Kong,China,4,9.2,20/10/2025,21/10/2025,by courtyard hong kong marriott
tripcom,Courtyard by Marriott Hong Kong,3729014,Hong Kong,China,4,9.2,21/10/2025,22/10/2025,by courtyard hong kong marriott
traveloka,Millennium Mitsui Garden Hotel Tokyo/Ginza,3729528,Tokyo,Jepang,5,9.0,30/09/2025,01/10/2025,garden millennium mitsui tokyoginza
traveloka,Ascott Star KLCC Kuala Lumpur,3731845,Kuala Lumpur,Malaysia,5,9.4,26/09/2025,27/09/2025,ascott klcc kuala lumpur star
tripcom,Novotel Paris Centre Tour Eiffel,3733322,Paris,Perancis,4,8.4,20/10/2025,21/10/2025,centre eiffel novotel paris tour
tripcom,Villa Panthéon,3733336,Paris,Perancis,4,8.4,13/10/2025,14/10/2025,panthéon villa
traveloka,Aparthotel Adagio Paris XV,3734279,Paris,Perancis,3,8.5,30/09/2025,01/10/2025,adagio aparthotel paris xv
tripcom,Alizé Grenelle Tour Eiffel,3735054,Paris,Perancis,3,8.5,16/10/2025,17/10/2025,alizé eiffel grenelle tour
tripcom,Novotel Paris Est Centre de Conference,3737371,Paris,Perancis,4,7.8,15/10/2025,16/10/2025,centre conference de est novotel paris
tripcom,"Lanson Place Causeway Bay, Hong Kong",3738741,Hong Kong,China,5,9.4,18/10/2025,19/10/2025,bay causeway hong kong lanson place
agoda,Sari Villa Ubud,3740000,Bali,Indonesia,3,8.5,05/10/2025,06/10/2025,sari ubud villa
agoda,"Cordis, Hong Kong",3740308,Hong Kong,China,5,9.3,03/10/2025,04/10/2025,cordis hong kong
agoda,Hotel de Castiglione,3742228,Paris,Perancis,4,7.5,27/09/2025,28/09/2025,castiglione de
tripcom,Kyriad Paris 13 - Italie Gobelins,3743896,Paris,Perancis,3,9.3,13/10/2025,14/10/2025,13 gobelins italie kyriad paris
traveloka,Ibis Styles Paris Opéra Lafayette,3744051,Paris,Perancis,3,7.4,05/10/2025,06/10/2025,ibis lafayette opéra paris styles
traveloka,Hotel 81 Bugis,3744547,Singapura,Singapura,5,8.2,02/10/2025,03/10/2025,81 bugis
tripcom,Grand Prince Hotel Takanawa,3744588,Tokyo,Jepang,5,9.3,18/10/2025,19/10/2025,grand prince takanawa
tripcom,The St. Regis Jakarta,3744950,Jakarta,Indonesia,5,9.8,17/10/2025,18/10/2025,jakarta regis st the
tripcom,The St. Regis Jakarta,3744950,Jakarta,Indonesia,5,9.8,16/10/2025,17/10/2025,jakarta regis st the
